"URL","Titulo","Autor"
"https://infobae.com/economia/2025/08/07/la-inflacion-en-la-ciudad-de-buenos-aires-fue-de-25-en-agosto-y-acumulo-un-alza-del-409-en-los-ultimos-doce-meses/","La inflación en CABA fue de 2,5% en julio y acumuló un alza del 40,9% en los últimos doce meses","Natalia Donato"
"https://infobae.com/salud/2025/08/07/examen-de-residencias-medicas-141-medicos-vuelven-a-rendir-hoy-tras-las-sospechas-de-fraude/","Examen de residencias: se presentaron 117, entre ellos el denunciado por usar lentes para copiarse",""
"https://infobae.com/deportes/2025/08/07/el-paseo-de-franco-colapinto-en-bicicleta-tras-el-accidente-que-sufrio-en-los-test-de-la-formula-1-como-sigue-su-trabajo-con-alpine/","El paseo de Colapinto en bicicleta tras el accidente en los test de la F1: cómo sigue su trabajo con Alpine",""
"https://infobae.com/deportes/2025/08/07/se-dan-a-conocer-los-30-candidatos-a-ganar-el-balon-de-oro-2025-y-el-resto-de-los-premios-la-lista-de-los-nominados/","Se dieron a conocer los 30 candidatos a ganar el Balón de Oro 2025 y el resto de los premios: hay tres argentinos",""
"https://infobae.com/sociedad/2025/08/07/marcha-de-san-cayetano-en-vivo-ultimas-noticias-sobre-la-movilizacion-de-gremios-y-movimientos-sociales-opositora-a-milei/","Organizaciones políticas y sindicales marcharon a Plaza de Mayo",""
"https://infobae.com/fotos/2025/08/07/18-fotos-de-la-peregrinacion-a-san-cayetano/","31 fotos de la peregrinación a San Cayetano",""
"https://infobae.com/opinion/2025/08/07/san-cayetano-lugar-de-reconciliacion/","San Cayetano, lugar de reconciliación","Guillermo Marcó"
"https://infobae.com/sociedad/2025/08/07/san-cayetano-la-vida-del-santo-al-que-miles-le-piden-o-le-agradecen-y-la-influencia-de-mama-antula-en-la-construccion-de-su-devocion/","La vida del santo al que miles le piden trabajo","Gerardo Di Fazio"
"https://infobae.com/salud/ciencia/2025/08/07/la-curiosa-vida-de-los-merenguitos-los-crustaceos-hallados-por-los-cientificos-del-conicet-en-el-canon-mar-del-plata/","La curiosa vida de los “merenguitos”, los crustáceos hallados por los científicos del CONICET en el mar","Valeria Román"
"https://infobae.com/economia/2025/08/07/comprar-un-auto-electrico-en-la-argentina-que-opciones-hay-disponibles-cuanto-cuestan-y-que-cambios-se-vienen/","Comprar un auto eléctrico en el país: qué opciones hay disponibles, cuánto cuestan y qué cambios se vienen","Diego Zorrero"
"https://infobae.com/economia/2025/08/07/entraron-en-vigor-los-aranceles-de-eeuu-cuales-son-sus-implicancias-economicas-financieras-y-geopoliticas/","Entraron en vigor los aranceles de EEUU: cuáles son sus implicancias financieras y geopolíticas",""
